miRNA_ID,mesh_similarity,doid_similarity,num_sources_mesh,num_sources_doid,mesh_disease_count,doid_disease_count,mesh_max_jaccard,doid_max_jaccard,mesh_jaccard_std,doid_jaccard_std,inter_ontology_agreement
hsa-mir-34b,0.04180965214848686,0.04648940259044966,4,4,105,82,0.2222222222222222,0.2857142857142857,0.06624186145657607,0.08043534190090049,0.9953202495580372
hsa-mir-502,0.006743295019157088,0.0024691358024691358,3,3,31,29,0.06666666666666667,0.037037037037037035,0.018168516121405107,0.009238660214256645,0.995725840783312
hsa-mir-539,0.02688052688052688,0.019082125603864734,4,4,37,30,0.2571428571428571,0.1,0.0619285173370773,0.03751745064494944,0.9922015987233379
hsa-mir-653,0.0027777777777777775,0.0,3,3,25,24,0.041666666666666664,0.0,0.010393492741038726,0.0,0.9972222222222222
hsa-mir-31,0.049997580133753085,0.044857464817142235,4,4,74,75,0.25806451612903225,0.24242424242424243,0.08151069784091196,0.07356001460502566,0.9948598846833892
hsa-mir-543,0.03540025696888442,0.04483737939620293,4,4,54,52,0.25,0.5,0.06744613885661226,0.11817689252301779,0.9905628775726815
hsa-mir-202,0.028907753254103,0.02248391527506687,3,3,63,60,0.26666666666666666,0.26666666666666666,0.06969747716967484,0.06661311154238816,0.9935761620209639
hsa-mir-374a,0.023267112575288674,0.018054891967935447,3,3,56,48,0.14285714285714285,0.15384615384615385,0.04845526048198089,0.04345253101204281,0.9947877793926467
hsa-mir-382,0.04739495798319328,0.07314158129760967,4,4,53,48,0.42857142857142855,0.5,0.10379384663058153,0.1461677302117398,0.9742533766855836
hsa-mir-490,0.0031065370688012194,0.0,4,4,56,47,0.03773584905660377,0.0,0.009371536427876906,0.0,0.9968934629311987
hsa-mir-127,0.022163890365644753,0.03509655853405853,4,4,84,72,0.13333333333333333,0.23076923076923078,0.040176637116296925,0.06742208710631818,0.9870673318315862
hsa-mir-675,0.02710846855774392,0.02074915824915825,4,4,52,47,0.16666666666666666,0.18181818181818182,0.052369365994634175,0.05462556015099127,0.9936406896914143
hsa-mir-98,0.021723364044412944,0.015590446704997788,3,4,88,79,0.16470588235294117,0.14285714285714285,0.04965272066531191,0.037805012414631176,0.9938670826605849
hsa-mir-184,0.0110625974737193,0.010844550312563017,4,4,75,69,0.06666666666666667,0.06666666666666667,0.021537243829760442,0.020837242606135346,0.9997819528388437
hsa-mir-410,0.011862971684400255,0.013290598290598291,4,4,57,60,0.10204081632653061,0.18181818181818182,0.027673771704718977,0.04148542728388437,0.998572373393802
hsa-mir-154,0.01424858442402302,0.011074800290486565,4,4,43,35,0.11904761904761904,0.1111111111111111,0.03617560299987546,0.031555440201720505,0.9968262158664636
hsa-mir-505,0.030644257703081233,0.021805555555555557,3,3,35,33,0.2,0.2,0.06485222395440046,0.0533965915359241,0.9911612978524743
hsa-let-7i,0.025527105429066214,0.019667412538583,4,4,74,75,0.2222222222222222,0.21052631578947367,0.05611627081871304,0.05061432970971381,0.9941403071095167
hsa-mir-483,0.010204950434835491,0.009145294743708586,4,4,94,82,0.07777777777777778,0.07142857142857142,0.024113096872025765,0.021953802565341976,0.9989403443088731
hsa-mir-369,0.0018518518518518517,0.00196078431372549,3,3,39,37,0.027777777777777776,0.029411764705882353,0.006928995160692484,0.007336583111321454,0.9998910675381264
hsa-mir-451a,0.022943297279580464,0.02354106131103657,4,4,118,107,0.2631578947368421,0.3157894736842105,0.06282473409715089,0.07289005381880541,0.9994022359685439
hsa-mir-432,0.014147321164865024,0.030389548020794067,4,4,42,36,0.09090909090909091,0.25,0.029009533648031983,0.06323060154305685,0.983757773144071
